Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
037988cc24eaeaa08f7002dbc926d02c8f9c0f1c,aug,2017,cool,auto,Eureka,698.1842105263157,724.421052631579,734.736842105263,10.0,True,False,True
037988cc24eaeaa08f7002dbc926d02c8f9c0f1c,aug,2017,cool,hold,Eureka,692.4431188751597,719.3596080102257,719.3059224541969,10.0,True,False,True
0bc51b95b2dc23713f611e182c689ad03dc2c300,aug,2017,cool,auto,Great Falls,705.6458333333335,750.0,680.0,10.0,False,False,False
0bc51b95b2dc23713f611e182c689ad03dc2c300,aug,2017,cool,hold,Great Falls,709.2268041237112,724.4810996563574,720.6219931271477,10.0,False,False,False
1e4188c276ca852a75feef8c5e3fc27e1f409c4d,aug,2017,cool,hold,Helena,741.7037037037038,740.0,740.0,5.0,False,False,False
29f5966d7808882d6c76a0a2d7091c18b3587704,aug,2017,cool,auto,Bozeman,695.9583333333335,690.2916666666665,670.0,9.0,True,False,False
29f5966d7808882d6c76a0a2d7091c18b3587704,aug,2017,cool,hold,Bozeman,701.972972972973,696.9189189189191,695.8378378378377,9.0,True,False,False
3e35e2d37f16eb3b72b2cbb145e6ed964ce01ca4,aug,2017,auto,hold,Great Falls,747.4583333333335,733.1666666666665,672.0,45.0,False,False,False
5a1fbc37826124394a837d94e7f46800280d115f,aug,2017,cool,hold,Great Falls,778.5,790.0,790.0,70.0,False,False,False
60f63223dc9bc1a3500de832e31d55a865266772,aug,2017,auto,hold,Fort Benton,693.3531598513011,766.0446096654275,504.8903345724907,40.0,False,False,False
60f63223dc9bc1a3500de832e31d55a865266772,aug,2017,cool,auto,Fort Benton,736.6082474226804,767.6701030927835,731.9175257731958,40.0,False,False,False
60f63223dc9bc1a3500de832e31d55a865266772,aug,2017,cool,hold,Fort Benton,727.3128654970758,765.9405458089667,721.6237816764133,40.0,False,False,False
