Identifier,Month,Year,HvacMode,CalendarEvent,City,Temperature_ctrl,TemperatureExpectedCool,TemperatureExpectedHeat,Age_of_Home__years_,allowCompWithAux,Has_Electric,Has_a_Heat_Pump
004a8ed2edb250a5a1c876d076227bbb8a2a2135,aug,2017,auto,auto,Fort Wayne,761.9657794676806,769.3650190114068,690.0,30.0,False,False,False
004a8ed2edb250a5a1c876d076227bbb8a2a2135,aug,2017,auto,hold,Fort Wayne,740.6764227642276,740.7365853658537,682.5853658536586,30.0,False,False,False
00a57ff87df6c0a6293c5d88b27fcf5f48a0ad28,aug,2017,cool,auto,Fort Wayne,726.4441512752859,728.9525065963061,726.1354441512752,20.0,False,False,True
00a57ff87df6c0a6293c5d88b27fcf5f48a0ad28,aug,2017,cool,hold,Fort Wayne,724.6050029086679,726.3618382780686,726.3577661431065,20.0,False,False,True
00a57ff87df6c0a6293c5d88b27fcf5f48a0ad28,aug,2017,heat,auto,Fort Wayne,717.776119402985,730.0,730.0,20.0,False,False,True
00d57801ec029dad25ea93d564eea9c33eed2183,aug,2017,cool,auto,Zionsville,677.9244604316547,678.9532374100719,704.8021582733813,80.0,True,False,False
00d57801ec029dad25ea93d564eea9c33eed2183,aug,2017,cool,hold,Zionsville,677.1445086705203,678.3815028901735,678.3815028901735,80.0,True,False,False
013a339f52d32f0442774a796606a51a78855d21,aug,2017,cool,auto,Indianapolis,730.2914285714286,739.0114285714286,679.2257142857143,5.0,True,False,True
013a339f52d32f0442774a796606a51a78855d21,aug,2017,cool,hold,Indianapolis,731.0196850393701,728.1259842519685,698.8897637795276,5.0,True,False,True
022769b8318b36b0df4e5357105aa3929cb2bf37,aug,2017,cool,hold,West Lafayette,722.9095035460992,714.4485106382979,696.9531914893618,10.0,True,False,True
02f0dce3a14264a8d2ef5ac782cfc049a6d04ca1,aug,2017,cool,auto,Elkhart,737.9296875,818.125,621.65625,55.0,False,False,False
02f0dce3a14264a8d2ef5ac782cfc049a6d04ca1,aug,2017,cool,hold,Elkhart,732.5483870967741,730.6612903225806,730.5,55.0,False,False,False
039909bdfbda1c62898ef54624a44987206967ca,aug,2017,cool,hold,Avon,723.9453125,720.859375,720.859375,5.0,False,False,False
0456128a82ab52892b75e2d3b765192d105b3ace,aug,2017,auto,auto,Indianapolis,754.8448275862069,740.0,660.0,50.0,True,False,False
048b9832c31257e1cc9f28289a4d736a74ddc494,aug,2017,cool,auto,Indianapolis,728.0286085825747,728.3537061118335,649.9531859557867,15.0,False,False,False
048b9832c31257e1cc9f28289a4d736a74ddc494,aug,2017,cool,hold,Indianapolis,719.5846153846154,696.0307692307692,695.5230769230769,15.0,False,False,False
057b5cd9f9ecb658b44d017df7cb142edd9073db,aug,2017,cool,auto,Lafayette,741.4166666666666,740.0,720.0,5.0,False,False,False
057b5cd9f9ecb658b44d017df7cb142edd9073db,aug,2017,cool,hold,Lafayette,742.0625,740.0,740.0,5.0,False,False,False
0581c47077442e686c895c78c6826fa059881d2a,aug,2017,cool,hold,South Bend,697.75,705.6666666666666,684.1666666666666,50.0,False,False,False
05a86795bb1e24207de7807a3fa02736e1a02c61,aug,2017,auto,auto,Reelsville,788.0,812.0,607.0,15.0,False,False,False
05a86795bb1e24207de7807a3fa02736e1a02c61,aug,2017,auto,hold,Reelsville,798.5526315789474,770.0,672.1052631578947,15.0,False,False,False
0633e0fc2ab02b110c9529dee48ad6958ffbd9ac,aug,2017,cool,auto,Fishers,742.6235093696763,745.0732538330494,705.7734241908007,16.0,False,False,False
0633e0fc2ab02b110c9529dee48ad6958ffbd9ac,aug,2017,cool,hold,Fishers,740.7788461538462,745.2582417582418,745.1785714285714,16.0,False,False,False
067122a9edf24f761e2402cc7d7f3178ba23a51a,aug,2017,cool,auto,Indianapolis,755.2177419354839,759.9381720430108,666.8333333333334,117.0,False,False,False
